Electoral District (2013 Representation Order),Province/Territory,Population (2021 Census),% Filipinos,Number of Filipinos (2021 Census),Number of Filipinos (2016 Census),% of Population with Knowledge of French,Healthcare Workers (NOC Classification),Number of Recent Immigrants (2016-2021),Recent Immigrants from PH (2016-2021),Number of People with Bachelors Degree or Higher,Median Age,Bikol Mother Tongue,"Bisaya, n.o.s. Mother Tongue",Cebuano Mother Tongue,Hiligaynon Mother Tongue,Ilocano Mother Tongue,Kankanaey Mother Tongue,Kinaray-a Mother Tongue,Pampangan Mother Tongue,Pangasinan Mother Tongue,Tagalog Mother Tongue,Waray-Waray Mother Tongue,Second Most Spoken Philippine Language,"Healthcare Workers (per 100,000)",% of Recent Immigrants from PH (2016-2021),"Number of People with Bachelors Degree or Higher (per 100,000)",Filipino Growth Rate % (2016-2021),% Second Most Spoken Philippine Language,"Recent Migrants from the Philippines per 100,000"
Avalon,Newfoundland and Labrador,87191,0.1,120,65,0,3850,185,15,11170,46.8,0,0,5,0,5,0,0,0,0,45,0,Mixed (more than two),4415.59,8.11,12810.96,84.62,18.18,17.20
Bonavista--Burin--Trinity,Newfoundland and Labrador,71898,0.2,110,70,0,2160,120,35,4645,54.8,0,0,0,0,5,0,0,0,0,50,0,Ilocano,3004.26,29.17,6460.54,57.14,9.09,48.68
Coast of Bays--Central--Notre Dame,Newfoundland and Labrador,74201,0.2,115,80,0,3210,200,50,5945,52.8,0,0,5,0,5,0,0,0,0,70,0,Cebuano & Ilocano,4326.09,25.00,8012.02,43.75,12.5,67.38
Labrador,Newfoundland and Labrador,26655,2.7,710,425,0.2,695,525,305,2570,38.8,5,0,15,0,15,0,0,0,0,385,0,Cebuano & Ilocano,2607.39,58.10,9641.72,67.06,7.14,1144.25
Long Range Mountains,Newfoundland and Labrador,81716,0.3,215,155,0,3535,300,120,8335,53.2,0,0,15,0,0,0,0,0,0,115,0,Cebuano,4325.96,40.00,10199.96,38.71,11.46,146.85
St. John's East,Newfoundland and Labrador,87345,0.7,580,385,0,4505,1900,255,24150,42,0,10,15,10,10,0,0,0,0,300,0,Cebuano,5157.71,13.42,27648.98,50.65,4.34,291.95
St. John's South--Mount Pearl,Newfoundland and Labrador,81544,0.5,430,210,0,3555,1040,160,15365,44,5,0,10,5,5,0,0,0,0,215,0,Cebuano,4359.61,15.38,18842.59,104.76,4.15,196.21
Cardigan,PEI,39866,0.1,45,60,0.1,1880,905,15,7045,43.6,0,0,0,0,0,0,0,0,0,50,0,NONE,4715.80,1.66,17671.70,-25.00,0,37.63
Charlottetown,PEI,38809,1.2,450,275,0.1,1745,2690,125,10035,40.8,0,5,15,0,10,0,0,0,0,220,0,Cebuano,4496.38,4.65,25857.40,63.64,5.98,322.09
Egmont,PEI,35925,2.6,910,280,0.2,1380,680,355,3740,46.8,5,0,20,5,15,0,0,5,0,705,0,Cebuano,3841.34,52.21,10410.58,225.00,2.65,988.17
Malpeque,PEI,39731,0.9,355,60,0.1,1810,585,135,7075,44.8,0,0,5,0,5,0,0,0,0,190,0,Cebuano & Ilocano,4555.64,23.08,17807.25,491.67,5,339.79
Cape Breton--Canso,Nova Scotia,71380,0.2,155,70,0.1,3340,365,55,9095,52,5,0,0,5,0,0,0,0,0,100,0,Bikol & Hiligaynon,4679.18,15.07,12741.66,121.43,9.09,77.05
Central Nova,Nova Scotia,73188,0.6,440,170,0,3500,535,210,10925,50,0,10,15,10,5,0,0,0,0,220,0,Cebuano,4782.20,39.25,14927.31,158.82,5.75,286.93
Cumberland--Colchester,Nova Scotia,82014,0.4,295,190,0,3605,610,90,10650,49.6,0,0,25,5,5,0,0,0,0,165,0,Cebuano,4395.59,14.75,12985.59,55.26,12.45,109.74
Dartmouth--Cole Harbour,Nova Scotia,96165,1.3,1225,745,0.1,3935,2235,395,22990,42.4,0,30,45,10,15,0,0,5,0,625,0,Cebuano,4091.93,17.67,23906.83,64.43,6.16,410.75
Halifax,Nova Scotia,107010,1.1,1160,660,0.1,6400,5715,390,43245,34.8,5,15,45,20,15,0,0,0,0,565,0,Cebuano,5980.75,6.82,40412.11,75.76,6.76,364.45
Halifax West,Nova Scotia,111944,1.4,1600,1065,0.1,5685,8815,620,35780,39.6,5,10,70,10,20,0,0,0,0,845,5,Cebuano,5078.43,7.03,31962.41,50.23,7.25,553.85
Kings--Hants,Nova Scotia,87744,0.6,515,205,0,3765,700,210,14330,46.8,0,5,10,5,10,0,0,0,5,215,0,Cebuano & Ilocano,4290.89,30.00,16331.60,151.22,8,239.33
Sackville--Preston--Chezzetcook,Nova Scotia,89524,0.5,425,85,0,4035,965,145,15620,43.2,0,5,10,5,15,0,0,0,0,155,0,Ilocano,4507.17,15.03,17447.84,400.00,7.89,161.97
South Shore--St. Margarets,Nova Scotia,94482,0.3,245,60,0,3940,625,40,15640,52.4,0,0,5,0,0,0,0,0,0,95,0,Cebuano,4170.11,6.40,16553.42,308.33,4.95,42.34
Sydney--Victoria,Nova Scotia,72361,0.5,330,105,0,3675,380,90,10875,48.8,0,0,5,0,0,0,0,0,0,160,0,Cebuano,5078.70,23.68,15028.81,214.29,3.01,124.38
West Nova,Nova Scotia,83571,0.3,230,45,0.2,3535,430,85,9585,51.6,0,0,0,0,0,0,0,0,0,105,0,NONE,4229.94,19.77,11469.29,411.11,0,101.71
